roc_auc,pr_auc,brier,brier_skill_score,country_iso3,n_obs,pos_rate
0.6957032348804502,0.02834874099379883,0.04274681988969386,-1.4241974534783264,HUN,7240,0.017955801104972375
0.6171275683401822,0.30018764110178814,0.20866987119681116,-0.30283769167363106,ZWE,7240,0.20027624309392264
0.613998022893989,0.3081115872218739,0.2563921596489756,-0.509729570947342,FRA,7240,0.21685082872928177
0.6020153735948864,0.0555558239429767,0.07997328263946073,-1.309900562090697,NLD,7240,0.03591160220994475
0.5915779761904761,0.9758896328615844,0.04470849718332304,-0.39494769164080457,IND,7240,0.9668508287292817
0.5795657031140902,0.050088580200538066,0.07766593407101618,-0.8950155312390717,NOR,7240,0.04281767955801105
0.5704058493589744,0.17337597299976473,0.1844564534297131,-0.5494815053361102,KEN,7240,0.13812154696132597
0.5644847233280255,0.8841859923351281,0.13058792982986514,-0.13540105338540664,CAN,7240,0.8674033149171271
0.5476859376318084,0.11270109227859285,0.10072308131739753,-0.484594153266827,THA,7240,0.07320441988950276
0.5318051404662283,0.010129657559825905,0.024479153489659396,-1.5565620162573626,POL,7240,0.009668508287292817
0.5302783262811471,0.02356511459379399,0.04942630545225571,-1.436115005805509,PER,7240,0.020718232044198894
0.5293573777466561,0.7061338825087233,0.25340384360862284,-0.17735676727673066,ZAF,7240,0.68646408839779
0.5256231799650553,0.02758036072818796,0.04383424119493358,-0.9117112249434649,MAR,7240,0.023480662983425413
0.5221734177428033,0.6679879584101329,0.2729141756372836,-0.20270935002058765,AUS,7240,0.6519337016574586
0.5198441754331683,0.45843294283614333,0.3085668563228426,-0.25110875990007986,IRL,7240,0.4419889502762431
0.519398879852693,0.05892737624154343,0.09135290562751494,-0.8369265252496654,BRA,7240,0.052486187845303865
0.50283540802213,0.9983380655910941,0.008731463339000243,-5.330322997488097,USA,7240,0.9986187845303868
0.5018354508588054,0.21769908915677813,0.23359012205390753,-0.3754629440650763,PHL,7240,0.21685082872928177
0.4989553648068669,0.03527251684183979,0.08681085742151448,-1.6039581115753805,VNM,7240,0.034530386740331494
0.4952033273687798,0.1003709642939408,0.1252929385126089,-0.3990190724647511,MEX,7240,0.09944751381215469
0.48985515918243294,0.1129315428935132,0.14519620148640797,-0.44571772871247206,TUR,7240,0.1132596685082873
0.4893760229720029,0.2685498306275404,0.28404825961942787,-0.42513788498945426,DEU,7240,0.27486187845303867
0.48576231681379833,0.065995312767517,0.09461764917551699,-0.44498735175322035,IDN,7240,0.07044198895027624
0.48554168399168396,0.09464380536330538,0.148213071290934,-0.6151712028481626,ITA,7240,0.10220994475138122
0.47585873538011697,0.051203108012422796,0.14762769357416886,-1.828322145721255,PRT,7240,0.055248618784530384
0.4740707776696453,0.1145557049549126,0.17449533009609555,-0.6184422568955317,CHN,7240,0.12292817679558012
0.4728009212219738,0.02672216939065635,0.04409241800458189,-0.5655481473934647,BOL,7240,0.029005524861878452
0.4698433467741935,0.16996854297550135,0.20000470483313199,-0.4091084161372551,CHL,7240,0.1712707182320442
0.469735369935747,0.43555120189205065,0.3205015628632625,-0.2927492379316956,KOR,7240,0.4544198895027624
0.4617045093079266,0.133595585804406,0.1624120163119209,-0.2895148527290241,MYS,7240,0.1477900552486188
0.4582697192513369,0.053150320532536405,0.08421353653138892,-0.4753581124624773,ARG,7240,0.06077348066298342
0.4336515952550041,0.06551164552185491,0.12793481592427933,-0.7638643854894933,GRC,7240,0.0787292817679558
0.4264684200039849,0.9860466185647332,0.017790772741286473,-0.8580386715354802,GBR,7240,0.9903314917127072
0.412762500392847,0.05130407863264234,0.13910612848583429,-1.2915897421411944,ESP,7240,0.0649171270718232
