feature,importance,model_name
fe__country_iso3_MAR,0.0052938885055482,model5_xgb
num__silver_pct_30d,0.0052420673891901,model5_xgb
num__food_cpi_inflation,0.0051863007247447,model5_xgb
num__gdelt_strike_region_14d,0.005167119204998,model5_xgb
num__fao_food_index_yoy_lag1m,0.0051388489082455,model5_xgb
fe__country_iso3_KOR,0.0049640289507806,model5_xgb
num__gdelt_protest_region_14d,0.0048831147141754,model5_xgb
fe__country_iso3_CAN,0.0048772795125842,model5_xgb
num__fao_oils_index_yoy_lag3m,0.0048613320104777,model5_xgb
num__unemployment_sa,0.0048422561958432,model5_xgb
num__fao_cereals_index_yoy_lag3m,0.0048148995265364,model5_xgb
fe__country_iso3_GBR,0.0047702104784548,model5_xgb
num__platinum_pct_30d,0.0047675962559878,model5_xgb
num__energy_cpi_inflation,0.0046817595139145,model5_xgb
num__fx_pct_30d_lag60d,0.0046618180349469,model5_xgb
num__gta_90d_count,0.0046549141407012,model5_xgb
num__gta_30d_count,0.0046409405767917,model5_xgb
num__fao_cereals_yoy_x_instability,0.0046333223581314,model5_xgb
fe__country_iso3_HUN,0.0046147862449288,model5_xgb
num__fao_cereals_index_yoy,0.0045916675589978,model5_xgb
num__copper_vol_30d,0.0044125081039965,model5_xgb
num__copper_pct_30d_x_copper_prod,0.0043782964348793,model5_xgb
fe__country_iso3_USA,0.0043691853061318,model5_xgb
num__vix_pct_30d_lag30d,0.0043071862310171,model5_xgb
num__fao_food_yoy_x_youth_unemp,0.0043026125058531,model5_xgb
num__vix_pct_30d_lag60d,0.0042713470757007,model5_xgb
num__fx_pct_90d,0.0042131766676902,model5_xgb
num__food_cpi_inflation_z,0.0041937646456062,model5_xgb
num__fx_vol_7d,0.0041737328283488,model5_xgb
num__oil_brent_pct_30d_x_inflation,0.0041726091876626,model5_xgb
num__copper_pct_90d,0.0040737446397542,model5_xgb
num__natgas_pct_30d,0.0039977487176656,model5_xgb
num__month_sin,0.0039874021895229,model5_xgb
num__gta_harmful_events_z,0.0039747096598148,model5_xgb
fe__country_iso3_MOZ,0.0039470889605581,model5_xgb
num__gta_90d_count_z,0.0039029780309647,model5_xgb
fe__country_iso3_JPN,0.0038602214772254,model5_xgb
num__dxy_vol_30d,0.0038340240716934,model5_xgb
num__month_cos,0.0038169187027961,model5_xgb
num__oil_brent_pct_30d_z,0.0038164472207427,model5_xgb
num__gold_vol_30d,0.0037705055437982,model5_xgb
num__gta_30d_count_z,0.0037686571013182,model5_xgb
num__fx_pct_30d_lag30d,0.0037240958772599,model5_xgb
num__fx_pct_7d,0.0037178355269134,model5_xgb
num__fx_trend_consistent,0.0036199169699102,model5_xgb
fe__country_iso3_NAM,0.0036115609109401,model5_xgb
num__oil_brent_pct_30d_lag30d,0.0035807169042527,model5_xgb
num__oil_brent_pct_30d_lag60d,0.0035670411307364,model5_xgb
num__fao_food_index_yoy,0.0035319603048264,model5_xgb
num__gold_pct_30d,0.0034873723052442,model5_xgb
fe__country_iso3_MYS,0.0033202897757291,model5_xgb
num__yield_us10y,0.0032894806936383,model5_xgb
fe__country_iso3_IRL,0.0032266790512949,model5_xgb
num__fx_vol_30d_z,0.003218152327463,model5_xgb
num__vix_pct_30d,0.0032093725167214,model5_xgb
num__dxy_pct_30d,0.0031959675252437,model5_xgb
num__oil_brent_pct_30d,0.0030676624737679,model5_xgb
fe__country_iso3_BOL,0.0030579101294279,model5_xgb
num__oil_brent_pct_14d,0.0030529093928635,model5_xgb
num__fx_pct_30d_x_instability,0.0030295592732727,model5_xgb
num__fao_oils_index_yoy,0.0030186725780367,model5_xgb
num__vix_7d_ma,0.0028978530317544,model5_xgb
num__oil_brent_pct_30d_x_net_importer,0.0028785844333469,model5_xgb
num__oil_brent_pct_30d_lag90d,0.002818620763719,model5_xgb
num__copper_pct_30d,0.0027911667712032,model5_xgb
num__vix_level,0.0026321711484342,model5_xgb
fe__country_iso3_SWE,0.0025433597620576,model5_xgb
fe__country_iso3_PRT,0.0024993317201733,model5_xgb
num__fao_food_index_yoy_above90,0.0024557455908507,model5_xgb
fe__country_iso3_AUS,0.0024145094212144,model5_xgb
num__fx_pct_30d,0.0022685807198286,model5_xgb
num__fx_pct_30d_z,0.0020711487159132,model5_xgb
fe__country_iso3_CHN,0.0020167839247733,model5_xgb
num__inflation_cpi_yoy_z,0.0017045531421899,model5_xgb
num__fao_food_index_yoy_lag6m,0.0015899419086053,model5_xgb
num__inflation_accel,0.0015474024694412,model5_xgb
num__fao_oils_index_yoy_lag1m,0.0015396653907373,model5_xgb
num__fao_cereals_index_yoy_lag6m,0.0010769906220957,model5_xgb
fe__country_iso3_DEU,0.0009195911115966,model5_xgb
fe__country_iso3_FRA,0.0008447940344922,model5_xgb
fe__country_iso3_THA,0.0,model5_xgb
fe__country_iso3_NOR,0.0,model5_xgb
num__fao_cereals_index_yoy_above90,0.0,model5_xgb
fe__country_iso3_VNM,0.0,model5_xgb
fe__country_iso3_TUR,0.0,model5_xgb
num__covid_period,0.0,model5_xgb
fe__country_iso3_PER,0.0,model5_xgb
fe__country_iso3_BRA,0.0,model5_xgb
fe__country_iso3_GRC,0.0,model5_xgb
fe__country_iso3_ESP,0.0,model5_xgb
fe__country_iso3_ITA,0.0,model5_xgb
fe__country_iso3_IDN,0.0,model5_xgb
fe__country_iso3_MEX,0.0,model5_xgb
fe__country_iso3_LAO,0.0,model5_xgb
fe__country_iso3_NLD,0.0,model5_xgb
num__gta_harmful_events,0.0,model5_xgb
num__gta_liberalising_events,0.0,model5_xgb
num__platinum_pct_30d_x_plat_prod,0.0,model5_xgb
num__rule_of_law_est,0.07084666192531586,model6_xgb_nolag
fe__country_iso3_IND,0.06146581470966339,model6_xgb_nolag
fe__country_iso3_JPN,0.05967472121119499,model6_xgb_nolag
fe__country_iso3_ZWE,0.058356016874313354,model6_xgb_nolag
num__unemployment_total,0.054582007229328156,model6_xgb_nolag
num__voice_accountability_est,0.044389039278030396,model6_xgb_nolag
fe__country_iso3_CHL,0.04014622047543526,model6_xgb_nolag
num__gini_coef,0.04008829593658447,model6_xgb_nolag
fe__country_iso3_ZAF,0.022463833913207054,model6_xgb_nolag
fe__country_iso3_AUS,0.021724065765738487,model6_xgb_nolag
fe__country_iso3_BRA,0.020158784464001656,model6_xgb_nolag
num__gold_pct_30d_x_gold_prod,0.019995352253317833,model6_xgb_nolag
fe__country_iso3_PHL,0.01970944181084633,model6_xgb_nolag
fe__country_iso3_KOR,0.018677685409784317,model6_xgb_nolag
num__inflation_cpi_yoy,0.018607862293720245,model6_xgb_nolag
num__platinum_pct_30d_x_plat_prod,0.017320113256573677,model6_xgb_nolag
fe__country_iso3_CAN,0.01622266136109829,model6_xgb_nolag
num__political_stability_est,0.015917209908366203,model6_xgb_nolag
num__unemployment_youth,0.014428086578845978,model6_xgb_nolag
num__government_effectiveness_est,0.013485874980688095,model6_xgb_nolag
num__unemployment_rate,0.01273047924041748,model6_xgb_nolag
num__unemployment_rate_z,0.012054014950990677,model6_xgb_nolag
num__gdp_per_capita_growth,0.012051159515976906,model6_xgb_nolag
num__gta_harmful_events_z,0.011860590428113937,model6_xgb_nolag
fe__country_iso3_POL,0.010668055154383183,model6_xgb_nolag
num__gdp_growth,0.010207709856331348,model6_xgb_nolag
num__food_cpi_inflation,0.009590128436684608,model6_xgb_nolag
num__unemployment_sa,0.009522374719381332,model6_xgb_nolag
num__gta_90d_count,0.008725503459572792,model6_xgb_nolag
fe__country_iso3_CHN,0.008638449013233185,model6_xgb_nolag
fe__country_iso3_GBR,0.007907035760581493,model6_xgb_nolag
fe__country_iso3_SWE,0.0077760727144777775,model6_xgb_nolag
num__fx_vol_30d,0.0061097461730241776,model6_xgb_nolag
fe__country_iso3_MAR,0.0056682792492210865,model6_xgb_nolag
num__gta_liberalising_events_z,0.005640977993607521,model6_xgb_nolag
fe__country_iso3_USA,0.00549185648560524,model6_xgb_nolag
num__fao_food_index_yoy_lag3m,0.005490078590810299,model6_xgb_nolag
num__energy_cpi_inflation,0.005489623639732599,model6_xgb_nolag
num__energy_cpi_inflation_z,0.0054252007976174355,model6_xgb_nolag
num__fao_food_index_yoy_lag1m,0.00531622301787138,model6_xgb_nolag
fe__country_iso3_MOZ,0.004752709995955229,model6_xgb_nolag
num__food_cpi_inflation_z,0.004721504636108875,model6_xgb_nolag
num__fao_cereals_index_yoy_lag3m,0.004720470868051052,model6_xgb_nolag
num__fao_oils_index_yoy_lag1m,0.004681075923144817,model6_xgb_nolag
num__month_cos,0.004592461511492729,model6_xgb_nolag
