url_normalized,top_expert,top_expert_p,actiongeo_lat,actiongeo_lon
https://wsvaonline.com/news/146641-coastal-flooding-along-n-c-outer-banks-closes-roads/,flood,0.9365447226763296,37.768,-78.2057
https://www.indiatoday.in/india/story/congress-calls-for-nationwide-stir-against-farm-bills-to-collect-signatures-of-2-crore-farmers-1724053-2020-09-22,protests,0.9363958561270846,28.6,77.2
https://junkee.com/john-farnham-protesters/271535,protests,0.9357842534414476,-37.8167,144.967
https://www.asiasentinel.com/p/ominous-overtones-in-growing-thailand,protests,0.9355649771850814,13.75,100.517
https://www.guardian.co.tt/news/citizens-told-to-adapt-to-flooding-6.2.1216166.892b588cba,flood,0.9349072072220432,11.0,-61.0
https://www.thenews.com.pk/print/717904-maulana-fazlur-rehman-protests-over-not-airing-speech,protests,0.934434899707235,33.7,73.1667
https://colombiareports.com/colombias-anti-war-protests-largely-peaceful-crackdown-in-bogota/,protests,0.9324832480929216,10.9639,-74.7964
https://www.cfr.org/blog/thai-protests-focus-more-explicitly-monarchy,protests,0.9312016108864304,13.75,100.517
https://www.rediff.com/news/report/cong-to-launch-nationwide-protests-against-farm-bills/20200921.htm,protests,0.930735551892878,,
https://www.swissinfo.ch/eng/reuters/colombian-unions--students-seek-to-revive-mass-protests-against-government--police-violence/46048562,protests,0.9292127308520014,4.57937,-74.2168
https://vietnamnet.vn/en/society/mekong-delta-farmers-wait-for-floodwaters-675038.html,flood,0.9279375092859108,11.1833,108.7
https://www.cbc.ca/news/canada/montreal/home-daycare-workers-launch-unlimited-strike-september-21-1.5732062,labour_strike,0.927674222465392,47.5,-72.0
https://reliefweb.int/report/sudan/qatar-charity-delivers-100-tons-aid-sudan-flood-victims,flood,0.9275828542218209,25.5,51.25
https://www.dawn.com/news/1580728/fazl-angry-with-organisers-over-media-blackout-of-speech,protests,0.9251132232000264,33.7,73.1667
https://www.dw.com/en/thousands-march-in-berlin-to-demand-germany-take-in-moria-refugees/a-54997956,protests,0.9203096500995616,39.1667,26.25
https://www.thisdaylive.com/index.php/2020/09/21/relief-as-health-workers-suspend-nationwide-strike/,protests,0.9193045406764576,9.08333,7.53333
https://www.indiatoday.in/india/story/farm-bills-row-suspended-rajya-sabha-mps-spend-night-outside-parliament-in-protest-as-farmer-unrest-grows-1724043-2020-09-21,protests,0.918249605514342,13.5,76.0
https://www.orissapost.com/10-central-trade-unions-to-support-nation-wide-farmers-protest-friday/,protests,0.9160450426982386,28.6,77.2
https://www.hindustantimes.com/india-news/karnataka-legislature-session-begins-farmers-on-protest-march-in-bengaluru/story-qpMKVsBuvHI10jOGXDsNpO.html,protests,0.9143491495610678,13.5,76.0
https://dailytrust.com/bread-scarcity-rages-as-bakers-strike-in-lagos-abuja-over-price-hikes,protests,0.9140680872739164,6.45306,3.39583
https://www.indiatoday.in/news-analysis/story/farm-bills-farmers-protest-politics-1723858-2020-09-21,protests,0.913719222329691,29.6161,76.9806
https://townhall.com/tipsheet/juliorosas/2020/09/21/antitrump-protesters-harass-lindsey-graham-outside-his-dc-home-over-scotus-n2576561,protests,0.9119243557553393,38.8951,-77.0364
https://www.infowars.com/choose-your-side-uk-anti-lockdown-protesters-face-off-with-police/,protests,0.910441429371618,51.5,-0.116667
https://www.bangkokpost.com/opinion/opinion/1988759/peaceful-end-to-protest-a-win-in-itself,protests,0.9094408057145628,13.75,100.517
https://www.hindustantimes.com/india-news/youth-congress-protests-farm-bills-in-jammu-threatens-mass-agitation-in-j-k/story-De1cDxEABauDgSo0Z6kGDK.html,protests,0.9066509836237616,,
http://www.coastaldigest.com/news/karnataka-farmers-launch-protest-against-anti-farmer-amendments,protests,0.900763470072272,12.9833,77.5833
https://www.freepressjournal.in/india/mps-night-out-opposition-lawmakers-to-spend-the-night-on-parliament-lawn-to-protest-suspension-farm-bills,protests,0.900065182096688,,
https://www.independent.ie/world-news/100000-join-march-as-protests-continue-in-belarus-39547689.html,protests,0.8941710867065729,49.0,32.0
https://www.foxnews.com/politics/protests-over-supreme-court-vacancy-target-homes-of-top-gop-lawmakers,protests,0.8914371698730411,38.8951,-77.0364
https://www.nbcwashington.com/news/local/protests-mount-at-lindsey-grahams-home-about-filling-supreme-court-vacancy/2423916/,protests,0.8890387891259601,38.8951,-77.0364
https://newsday.co.tt/2020/09/21/elderly-sisters-count-flood-losses/,flood,0.8882988155882952,10.1092,-61.4461
https://www.hindustantimes.com/chandigarh/commission-agents-strike-enters-fourth-day-farmers-unable-to-sell-produce/story-LiW1reTT4l8Or7pvyGJdIP.html,labour_strike,0.8859147200134243,,
https://chinadigitaltimes.net/2009/03/tibetan-monks-protest-in-restive-west-china-report/,protests,0.8833682324589895,32.0,90.0
https://www.thestar.com.my/aseanplus/aseanplus-news/2020/09/21/thai-protesters-vow-to-keep-up-fight-after-039people039s-plaque039-removed,protests,0.8757964572426884,13.75,100.517
https://www.moneycontrol.com/news/india/farm-bill-protest-central-trade-unions-lend-support-to-nationwide-stir-on-september-25-5868531.html,protests,0.8735257089078388,,
https://kpel965.com/flash-flood-watch-for-lafayette-baton-rouge-and-new-orleans/,flood,0.871549352413963,30.4463,-91.1126
https://www.moneycontrol.com/news/india/farmers-protest-live-updates-farm-bill-2020-haryana-punjab-chandigarh-road-blocks-jjp-akali-dal-5863671.html,protests,0.8714758807479537,,
https://www.today.ng/news/nigeria/aisha-buhari-sends-relief-materials-victims-flood-kebbi-319101,flood,0.8680194555226033,12.2175,4.37917
https://www.aninews.in/news/national/general-news/sc-reserves-order-on-plea-seeking-guidelines-on-right-to-protest-in-wake-of-shaheen-bagh20200921141755/,protests,0.8671658209105717,28.6667,77.2167
https://www.france24.com/en/20200921-thai-protesters-plaque-removed-after-calls-for-royal-reform,protests,0.8618913092542702,22.25,114.166667
https://www.newindianexpress.com/world/2020/sep/21/police-detain-over-400-people-during-sunday-protests-in-belarus-2200006.html,protests,0.8601291448083576,53.9,27.5667
https://thenationonlineng.net/sule-orders-immediate-evacuation-of-flooded-areas/,flood,0.8598945904563123,,
https://www.rawstory.com/2020/09/get-the-hell-out-donald-trump-supporters-freak-out-when-protesters-show-up-to-lindsey-graham-event/,protests,0.8571131084527529,33.8191,-80.9066
https://redflag.org.au/node/7384,protests,0.8561150189506337,-12.05,-77.05
https://www.news18.com/news/india/farmers-begin-10-day-demo-to-protest-against-amended-apmc-klra-acts-2896397.html,protests,0.8547183575598403,13.5,76.0
https://www.stargazette.com/story/news/2020/09/20/rochester-police-actions-during-protests-under-review-ag/5844482002/,protests,0.8538650254213976,42.1497,-74.9384
https://www.albawaba.com/news/tens-thousands-protest-minsk-call-lukashenko-step-down-1381846,protests,0.853682678668541,50.8333,4.33333
https://www.tribuneindia.com/news/punjab/punjab-cong-holds-protests-across-state-against-farm-bills-144506,protests,0.8524392823417564,,
https://www.hindustantimes.com/india-news/cong-plans-campaigns-month-long-protest-across-india-from-sept-24/story-5ZL3JcCoAruzptKWzGX2kK.html,protests,0.8523161482816299,28.6667,77.2167
https://sputniknews.com/india/202009211080524176-indian-sikhs-threaten-protests-at-pakistan-high-commission-over-disappearance-of-girl/,protests,0.8476589794795244,31.4475,73.6972
https://tribuneonlineng.com/flood-nema-urges-oyo-govt-to-scale-up-mitigation-measures/,flood,0.8455598024992452,7.38778,3.89639
https://www.berliner-zeitung.de/en/day-care-and-nursing-homes-to-be-hit-by-public-sector-strikes-li.106498,labour_strike,0.8453769406173184,51.5,10.5
https://peoplesdailyng.com/flooding-abuja-at-risk-due-to-proximity-to-redline-states-fema-warns/,flood,0.8442548181512116,7.80236,6.743
https://www.bangkokpost.com/thailand/politics/1989179/complaints-filed-against-protest-leaders,protests,0.8380818071375551,15.0,100.0
http://idrw.org/not-a-question-of-if-but-when-china-will-strike/,labour_strike,0.8373037352995301,33.6214,78.6734
https://www.financialexpress.com/india-news/cant-be-a-universal-policy-on-right-to-protest-sc-reserves-verdict-on-pleas-seeking-guidelines-for-shaheen-bagh-like-protests/2088285/,protests,0.8346310793368579,33.1792,74.1972
https://powdersvillepost.com/protesters-gather-outside-senate-majority-leader-mcconnells-home/,protests,0.8310474362761736,35.5376,-96.9247
https://www.news.com.au/world/north-america/us-politics/ruth-bader-ginsburg-protesters-gather-outside-mitch-mcconnells-home/news-story/5348a72375ff604c248f9b48943610cb,protests,0.8255548675356685,39.9523,-75.1638
https://kashmirreader.com/2020/09/22/pharmacy-diploma-holders-hold-protest-demand-registration-employment/,protests,0.825488826941592,32.7333,74.8667
https://wibailoutpeople.org/2020/09/21/frso-stands-in-solidarity-with-anti-racist-activists-arrested-in-denver/,protests,0.8254617831719564,35.2271,-80.8431
https://www.foxnews.com/politics/protesters-gather-outside-lindsey-grahams-home-supreme-court-building,protests,0.822661091780342,,
https://www.aninews.in/news/national/general-news/andhra-pradesh-congress-committee-protests-against-farm-bills-accuses-bjp-of-promoting-crony-capitalism20200921175200/,protests,0.8200776287819223,,
https://www.cnn.com/2020/09/20/us/times-square-nyc-ice-protest/,protests,0.818236804653039,40.757,-73.986
https://www.swissinfo.ch/eng/politics/climate-activists-occupy-parliament-square/46046624,protests,0.8077351389554938,46.9167,7.46667
https://www.swissinfo.ch/eng/climate-activists-occupy-parliament-square/46046624,protests,0.8077351389554938,46.9167,7.46667
https://www.vanguardngr.com/2020/09/health-workers-suspend-7-day-nationwide-warning-strike/,labour_strike,0.8028427091645034,9.08333,7.53333
https://naija247news.com/2020/09/21/health-workers-suspend-7-day-nationwide-warning-strike/,labour_strike,0.8028427091645034,9.08333,7.53333
