target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.8226,0.7712,0.2347,-0.0004,0.3758582037270562
protest_7d,static,2,0.872,0.834,0.133,0.4263,0.3654204268729408
strike_7d,static,1,0.8668,0.7624,0.1621,0.0699,0.2248143477651674
strike_7d,static,2,0.9035,0.8144,0.0987,0.4106,0.2125769946998997
protest_7d,expanding,2020-01,0.811,0.7091,0.173,0.2969,
protest_7d,expanding,2020-02,0.8544,0.8691,0.1498,0.3979,
protest_7d,expanding,2020-03,0.7892,0.7176,0.3174,-0.5814,
protest_7d,expanding,2020-04,0.8639,0.8072,0.1573,0.2737,
protest_7d,expanding,2020-05,0.881,0.8621,0.1316,0.445,
protest_7d,expanding,2020-06,0.8782,0.8871,0.1406,0.436,
protest_7d,expanding,2020-07,0.8547,0.839,0.1469,0.3907,
protest_7d,expanding,2020-08,0.8687,0.8569,0.1411,0.3864,
protest_7d,expanding,2020-09,0.8948,0.8737,0.1127,0.508,
protest_7d,expanding,2020-10,0.8771,0.8389,0.1328,0.4298,
protest_7d,expanding,2020-11,0.8581,0.8318,0.1371,0.4146,
protest_7d,expanding,2020-12,0.9008,0.8254,0.1373,0.3433,
protest_7d,expanding,2021-01,0.8628,0.8113,0.1347,0.4003,
protest_7d,expanding,2021-02,0.8261,0.8152,0.1582,0.3442,
protest_7d,expanding,2021-03,0.8891,0.8714,0.1311,0.4599,
protest_7d,expanding,2021-04,0.9064,0.8752,0.1227,0.4869,
protest_7d,expanding,2021-05,0.8858,0.8421,0.1277,0.446,
protest_7d,expanding,2021-06,0.8638,0.8548,0.1354,0.4329,
protest_7d,expanding,2021-07,0.8763,0.8324,0.1356,0.3907,
protest_7d,expanding,2021-08,0.8688,0.8155,0.1362,0.4011,
protest_7d,expanding,2021-09,0.9067,0.8746,0.1174,0.4927,
protest_7d,expanding,2021-10,0.8579,0.8164,0.1466,0.3548,
protest_7d,expanding,2021-11,0.9079,0.8787,0.1174,0.4991,
protest_7d,expanding,2021-12,0.8719,0.7871,0.1446,0.2972,
strike_7d,expanding,2020-01,0.8563,0.6838,0.1421,0.2451,
strike_7d,expanding,2020-02,0.8508,0.7844,0.1314,0.2696,
strike_7d,expanding,2020-03,0.8691,0.6989,0.1198,0.3131,
strike_7d,expanding,2020-04,0.9088,0.835,0.3082,-0.9513,
strike_7d,expanding,2020-05,0.9355,0.8758,0.0681,0.6019,
strike_7d,expanding,2020-06,0.8733,0.8242,0.098,0.4903,
strike_7d,expanding,2020-07,0.9086,0.8342,0.1049,0.4013,
strike_7d,expanding,2020-08,0.9283,0.846,0.1057,0.4118,
strike_7d,expanding,2020-09,0.9037,0.8035,0.0984,0.4415,
strike_7d,expanding,2020-10,0.9164,0.8006,0.0937,0.3725,
strike_7d,expanding,2020-11,0.908,0.823,0.0878,0.4697,
strike_7d,expanding,2020-12,0.8643,0.7709,0.1259,0.2872,
strike_7d,expanding,2021-01,0.9339,0.8375,0.082,0.4679,
strike_7d,expanding,2021-02,0.9312,0.8742,0.08,0.5027,
strike_7d,expanding,2021-03,0.9003,0.8018,0.1028,0.4197,
strike_7d,expanding,2021-04,0.8626,0.7744,0.1019,0.4302,
strike_7d,expanding,2021-05,0.8853,0.8107,0.0993,0.4151,
strike_7d,expanding,2021-06,0.893,0.806,0.0953,0.4503,
strike_7d,expanding,2021-07,0.9154,0.8303,0.0851,0.4359,
strike_7d,expanding,2021-08,0.9302,0.8146,0.0939,0.4684,
strike_7d,expanding,2021-09,0.934,0.8409,0.0887,0.5028,
strike_7d,expanding,2021-10,0.9299,0.8486,0.0933,0.4649,
strike_7d,expanding,2021-11,0.8858,0.818,0.1008,0.3874,
strike_7d,expanding,2021-12,0.9064,0.7967,0.1168,0.1587,
