feature,coefficient,fold_id,event_type,horizon,model_name,target
num__gdelt_protest_7d_lag,0.4547804762084761,1,protest,7,model3_structural,protest_7d
num__gdelt_strike_7d_lag,-0.1819792705663316,1,protest,7,model3_structural,protest_7d
num__gdelt_strike_28d_lag,0.3999436976418514,1,protest,7,model3_structural,protest_7d
num__gdelt_protest_region_14d,0.1184008437152476,1,protest,7,model3_structural,protest_7d
num__gdelt_strike_region_14d,-0.1296068951536192,1,protest,7,model3_structural,protest_7d
num__fx_pct_7d,0.0254898004576154,1,protest,7,model3_structural,protest_7d
num__fx_pct_30d,-0.7559573833787732,1,protest,7,model3_structural,protest_7d
num__fx_pct_90d,-0.1372088413302144,1,protest,7,model3_structural,protest_7d
num__fx_vol_7d,-0.0171399344479275,1,protest,7,model3_structural,protest_7d
num__fx_vol_30d,-0.2280314931921981,1,protest,7,model3_structural,protest_7d
num__oil_brent_pct_14d,0.0312423831996654,1,protest,7,model3_structural,protest_7d
num__yield_us10y,-0.1098397930357631,1,protest,7,model3_structural,protest_7d
num__fx_pct_30d_z,0.0783856836513813,1,protest,7,model3_structural,protest_7d
num__fx_vol_30d_z,0.0287748064169141,1,protest,7,model3_structural,protest_7d
num__copper_pct_30d,0.0424262182812653,1,protest,7,model3_structural,protest_7d
num__copper_pct_90d,0.0655354376451199,1,protest,7,model3_structural,protest_7d
num__copper_vol_30d,0.0325109195240002,1,protest,7,model3_structural,protest_7d
num__gold_pct_30d,-0.0817516967008974,1,protest,7,model3_structural,protest_7d
num__gold_vol_30d,0.0393732963282135,1,protest,7,model3_structural,protest_7d
num__platinum_pct_30d,-0.0046034190442017,1,protest,7,model3_structural,protest_7d
num__silver_pct_30d,-0.0153764257038017,1,protest,7,model3_structural,protest_7d
num__natgas_pct_30d,0.0611287243665753,1,protest,7,model3_structural,protest_7d
num__vix_pct_30d,-0.014537376729361,1,protest,7,model3_structural,protest_7d
num__vix_7d_ma,0.0874731634189231,1,protest,7,model3_structural,protest_7d
