year,fx_start,fx_end,fx_depreciation_pct,fx_vol_30d_mean,fx_vol_30d_max,fx_pct_30d_worst,fx_pct_30d_best,oil_mean_usd,oil_pct_30d_worst,yield_us10y_mean,n_trading_days,n_crisis_days_30d
2017,100.55999755859375,101.80000305175781,1.2331,0.002274,0.004743,1.734163,-1.410108,54.827108,-13.435879,2.327143,364,0
2018,101.38999938964844,100.9000015258789,-0.4833,0.003635,0.00664,2.504983,-2.622795,71.592904,-28.56334,2.908953,365,0
2019,100.9000015258789,100.44000244140625,-0.4559,0.005134,0.006419,3.036661,-2.93232,64.205151,-18.632793,2.139699,365,0
2020,99.57058715820312,109.1500015258789,9.6207,0.005127,0.008045,6.605709,-1.91137,43.302159,-60.623377,0.889254,366,11
2021,108.0,112.1500015258789,3.8426,0.004816,0.006837,2.475473,-3.600727,70.773698,-19.052655,1.436732,365,0
2022,112.1500015258789,122.4000015258789,9.1395,0.004412,0.007002,2.934927,-1.429229,99.053835,-21.514027,2.947951,365,0
2023,122.4000015258789,156.0,27.451,0.006117,0.011534,7.312158,-0.329427,82.217781,-17.617816,3.958677,365,35
2024,155.9404754638672,128.1699981689453,-17.8084,0.009058,0.019172,6.850211,-18.912819,79.877186,-13.730733,4.206798,366,8
2025,128.1699981689453,127.9000015258789,-0.2107,0.004222,0.006655,1.616354,-1.559947,68.201808,-16.53271,4.291348,365,0
