target,evaluation,fold_id,roc_auc,pr_auc,brier,brier_skill_score,pos_rate
protest_7d,static,1,0.7421,0.6676,0.3066,-0.307,0.3758582037270562
protest_7d,static,2,0.7722,0.7093,0.2668,-0.1505,0.3654204268729408
strike_7d,static,1,0.7749,0.6165,0.407,-1.3354,0.2248143477651674
strike_7d,static,2,0.844,0.7006,0.1158,0.3082,0.2125769946998997
protest_7d,expanding,2020-01,0.8072,0.7096,0.2104,0.1447,
protest_7d,expanding,2020-02,0.8495,0.866,0.1512,0.3921,
protest_7d,expanding,2020-03,0.7628,0.6931,0.4303,-1.1442,
protest_7d,expanding,2020-04,0.8573,0.8014,0.1358,0.373,
protest_7d,expanding,2020-05,0.8843,0.8646,0.1277,0.4615,
protest_7d,expanding,2020-06,0.8443,0.8598,0.1993,0.2005,
protest_7d,expanding,2020-07,0.853,0.8397,0.1479,0.3865,
protest_7d,expanding,2020-08,0.8671,0.8567,0.1731,0.2468,
protest_7d,expanding,2020-09,0.903,0.885,0.1068,0.5338,
protest_7d,expanding,2020-10,0.8751,0.837,0.1349,0.4206,
protest_7d,expanding,2020-11,0.8675,0.8401,0.1312,0.4398,
protest_7d,expanding,2020-12,0.8985,0.8207,0.1408,0.3268,
protest_7d,expanding,2021-01,0.8446,0.7888,0.1523,0.3222,
protest_7d,expanding,2021-02,0.8229,0.8142,0.1662,0.3112,
protest_7d,expanding,2021-03,0.8922,0.8792,0.1385,0.4293,
protest_7d,expanding,2021-04,0.9089,0.878,0.1212,0.4934,
protest_7d,expanding,2021-05,0.8843,0.8441,0.1312,0.4311,
protest_7d,expanding,2021-06,0.8677,0.8555,0.1339,0.439,
protest_7d,expanding,2021-07,0.8716,0.8191,0.1327,0.4036,
protest_7d,expanding,2021-08,0.8671,0.8119,0.1375,0.3954,
protest_7d,expanding,2021-09,0.8963,0.8738,0.1298,0.4395,
protest_7d,expanding,2021-10,0.8568,0.813,0.1752,0.2291,
protest_7d,expanding,2021-11,0.9028,0.8746,0.1214,0.482,
protest_7d,expanding,2021-12,0.8792,0.7914,0.1545,0.2487,
strike_7d,expanding,2020-01,0.8678,0.6841,0.1181,0.3727,
strike_7d,expanding,2020-02,0.8463,0.7688,0.1074,0.403,
strike_7d,expanding,2020-03,0.8602,0.6781,0.201,-0.1526,
strike_7d,expanding,2020-04,0.8789,0.7634,0.4114,-1.6048,
strike_7d,expanding,2020-05,0.9342,0.8655,0.1139,0.3347,
strike_7d,expanding,2020-06,0.8857,0.8297,0.1517,0.2113,
strike_7d,expanding,2020-07,0.9112,0.831,0.2004,-0.1436,
strike_7d,expanding,2020-08,0.9298,0.8497,0.1019,0.4328,
strike_7d,expanding,2020-09,0.9072,0.8053,0.1185,0.3275,
strike_7d,expanding,2020-10,0.9106,0.8125,0.1458,0.0238,
strike_7d,expanding,2020-11,0.8806,0.77,0.0886,0.4648,
strike_7d,expanding,2020-12,0.8601,0.7648,0.1319,0.2532,
strike_7d,expanding,2021-01,0.9279,0.8297,0.0797,0.4824,
strike_7d,expanding,2021-02,0.9256,0.8655,0.0691,0.5707,
strike_7d,expanding,2021-03,0.8952,0.7993,0.0945,0.4662,
strike_7d,expanding,2021-04,0.866,0.7802,0.0983,0.4507,
strike_7d,expanding,2021-05,0.888,0.8163,0.0879,0.482,
strike_7d,expanding,2021-06,0.8865,0.7954,0.0983,0.4326,
strike_7d,expanding,2021-07,0.9206,0.8332,0.0722,0.5215,
strike_7d,expanding,2021-08,0.9355,0.8246,0.0891,0.4953,
strike_7d,expanding,2021-09,0.9361,0.8451,0.1022,0.4271,
strike_7d,expanding,2021-10,0.9254,0.8448,0.1067,0.3881,
strike_7d,expanding,2021-11,0.8962,0.8343,0.1408,0.1444,
strike_7d,expanding,2021-12,0.9012,0.7999,0.1128,0.1878,
