roc_auc,pr_auc,brier,fold_id,horizon,model_name,n_train,n_test,pos_rate
0.5862166351143603,0.2795820517541874,0.23069496145983578,1,30,model0_persistence,39195,14274,0.22698612862547288
0.554471224744169,0.26321073872172174,0.21997460941834193,1,30,model1_markets,39195,14274,0.22698612862547288
0.4570759403594278,0.20266314553821246,0.285015380254734,1,30,model2_full,39195,14274,0.22698612862547288
0.43401254707671233,0.18998665325834982,0.4127267023862343,1,30,model4_fao,39195,14274,0.22698612862547288
0.5353320656466992,0.2422851025143496,0.19777946677324992,1,30,model5_xgboost_tuned,39195,14274,0.22698612862547288
0.4872373997766723,0.23438247642414806,0.21672151207881035,1,30,model6_xgb_nolag,39195,14274,0.22698612862547288
0.6054521714028693,0.31024956376254365,0.2342845533601857,1,30,model5_income_group,42705,14274,0.22698612862547288
0.5646797664681781,0.26727806350758254,0.24148234887777728,1,30,model6_income_group_nolag,42705,14274,0.22698612862547288
0.6000488016287269,0.20112159736460247,0.2414354692560368,2,30,model0_persistence,53469,14235,0.17042500878117317
0.5923576321300345,0.20125528434951828,0.2506283495539334,2,30,model1_markets,53469,14235,0.17042500878117317
0.4913555913346514,0.17129183792287023,0.32466480135560133,2,30,model2_full,53469,14235,0.17042500878117317
0.5347897564679699,0.18236262267686498,0.17193615797532874,2,30,model4_fao,53469,14235,0.17042500878117317
0.5784713679542278,0.21725733194386004,0.23025476265666497,2,30,model5_xgboost_tuned,53469,14235,0.17042500878117317
0.5231668637324907,0.18765720366164593,0.24424629416388893,2,30,model6_xgb_nolag,53469,14235,0.17042500878117317
0.49424157535748475,0.16655154800781513,0.204940909842024,2,30,model5_income_group,56979,14235,0.17042500878117317
0.5475819021598028,0.1923097351435455,0.2120133006714074,2,30,model6_income_group_nolag,56979,14235,0.17042500878117317
0.6474132349951895,0.22650708292657434,0.23358536372170077,3,30,model0_persistence,67704,14235,0.15391640323147174
0.6792751088697899,0.25060487903828665,0.241325638647916,3,30,model1_markets,67704,14235,0.15391640323147174
0.5960053514414893,0.20028505522901224,0.33489902383399184,3,30,model2_full,67704,14235,0.15391640323147174
0.6504585498994179,0.2483794268015802,0.26357853646417684,3,30,model4_fao,67704,14235,0.15391640323147174
0.5861642485085494,0.18946612806078905,0.25929677717600713,3,30,model5_xgboost_tuned,67704,14235,0.15391640323147174
0.5734020140058489,0.17715921433941573,0.16697757383857223,3,30,model6_xgb_nolag,67704,14235,0.15391640323147174
0.5495301458928703,0.18588195956289832,0.1880323747808403,3,30,model5_income_group,71214,14235,0.15391640323147174
0.537772936173025,0.1798560858754587,0.2001794402022625,3,30,model6_income_group_nolag,71214,14235,0.15391640323147174
0.6167778431445126,0.23914855091273518,0.23549473249123298,4,30,model0_persistence,81939,14235,0.17400772743238496
0.6056165094442952,0.22855206904923758,0.24033277984491674,4,30,model1_markets,81939,14235,0.17400772743238496
0.5979398456958981,0.2140202057227182,0.2928015604974547,4,30,model2_full,81939,14235,0.17400772743238496
0.5127968258823153,0.17515053412670034,0.32693235776299395,4,30,model4_fao,81939,14235,0.17400772743238496
0.62454704046062,0.2713300579764804,0.20945153652409723,4,30,model5_xgboost_tuned,81939,14235,0.17400772743238496
0.5647784073417609,0.235850364868059,0.16041880435686062,4,30,model6_xgb_nolag,81939,14235,0.17400772743238496
0.5917002505719742,0.21524503892465244,0.24100846135553514,4,30,model5_income_group,85449,14235,0.17400772743238496
0.5233606227814691,0.1985151018616002,0.1891035838844142,4,30,model6_income_group_nolag,85449,14235,0.17400772743238496
0.6098780502912109,0.20472397021484112,0.23672547382507184,5,30,model0_persistence,96174,14274,0.1351408154686843
0.610030106865831,0.1998602752369733,0.23817706237555153,5,30,model1_markets,96174,14274,0.1351408154686843
0.6015391476391233,0.18248943503026777,0.26980847164705096,5,30,model2_full,96174,14274,0.1351408154686843
0.5703140297910787,0.1617104487092121,0.3840994439374279,5,30,model4_fao,96174,14274,0.1351408154686843
0.627528454967045,0.20387750888323844,0.2505433872057712,5,30,model5_xgboost_tuned,96174,14274,0.1351408154686843
0.4701501311965626,0.12714346082425917,0.2720302739493378,5,30,model6_xgb_nolag,96174,14274,0.1351408154686843
0.614785034794332,0.21646872660784805,0.21287514007156408,5,30,model5_income_group,99684,14274,0.1351408154686843
0.5409805486424615,0.15499566169287562,0.1927205033003806,5,30,model6_income_group_nolag,99684,14274,0.1351408154686843
