feature,coefficient,fold_id,horizon,model_name
num__acled_7d_lag,1.126179895730708,1,7,model0_persistence
num__acled_28d_lag,-1.0223385937188028,1,7,model0_persistence
num__riot_7d_lag,0.31636478073317875,1,7,model0_persistence
num__riot_28d_lag,-0.17684504843370763,1,7,model0_persistence
num__violence_7d_lag,0.5650353981383806,1,7,model0_persistence
num__violence_28d_lag,-0.3635540202281905,1,7,model0_persistence
num__protest_fat_7d_lag,-0.07629871965602587,1,7,model0_persistence
num__protest_fat_28d_lag,-0.006654699105967183,1,7,model0_persistence
num__acled_7d_lag,1.13739088036294,1,7,model1_markets
num__acled_28d_lag,-1.0298620602658082,1,7,model1_markets
num__riot_7d_lag,0.3306278994291709,1,7,model1_markets
num__riot_28d_lag,-0.1899670543703069,1,7,model1_markets
num__violence_7d_lag,0.5878800141277382,1,7,model1_markets
num__violence_28d_lag,-0.40307360772652273,1,7,model1_markets
num__protest_fat_7d_lag,-0.06956296150034577,1,7,model1_markets
num__protest_fat_28d_lag,-0.0058031037196925195,1,7,model1_markets
num__fx_pct_7d,0.02611990399376146,1,7,model1_markets
num__fx_pct_30d,0.14982380880685486,1,7,model1_markets
num__fx_pct_90d,-0.08685280821923597,1,7,model1_markets
num__fx_vol_7d,0.06241624962033516,1,7,model1_markets
num__fx_vol_30d,0.024020595946148058,1,7,model1_markets
num__oil_brent_pct_14d,0.007290807038678418,1,7,model1_markets
num__oil_brent_pct_30d,0.18640446852486592,1,7,model1_markets
num__yield_us10y,0.06489507863259214,1,7,model1_markets
num__fx_pct_30d_z,-0.09379001204638543,1,7,model1_markets
num__fx_vol_30d_z,-0.01708532919742466,1,7,model1_markets
num__oil_brent_pct_30d_z,-0.30561833306776914,1,7,model1_markets
num__acled_7d_lag,1.102945987087223,1,7,model2_full
num__acled_28d_lag,-0.9896363937313047,1,7,model2_full
num__riot_7d_lag,0.31501856824146107,1,7,model2_full
num__riot_28d_lag,-0.1669243198676341,1,7,model2_full
num__violence_7d_lag,0.5773008113261552,1,7,model2_full
num__violence_28d_lag,-0.5639040340948115,1,7,model2_full
num__protest_fat_7d_lag,-0.08955379661963056,1,7,model2_full
num__protest_fat_28d_lag,-0.04117720934829804,1,7,model2_full
num__fx_pct_7d,0.019229281652261235,1,7,model2_full
num__fx_pct_30d,0.29321423985625716,1,7,model2_full
num__fx_pct_90d,-0.2512409283204748,1,7,model2_full
num__fx_vol_7d,0.04690866851609715,1,7,model2_full
num__fx_vol_30d,0.1472473377991931,1,7,model2_full
num__oil_brent_pct_14d,0.007672607160255114,1,7,model2_full
num__oil_brent_pct_30d,-0.11006858265850943,1,7,model2_full
num__yield_us10y,0.0566230471498032,1,7,model2_full
num__fx_pct_30d_z,-0.00723292834217318,1,7,model2_full
num__fx_vol_30d_z,-0.10998598527768526,1,7,model2_full
num__oil_brent_pct_30d_z,0.06998767077480181,1,7,model2_full
num__gdp_growth,-0.23413651130117283,1,7,model2_full
num__gdp_per_capita_growth,-0.1073888455511956,1,7,model2_full
num__inflation_cpi_yoy,-0.6045548731302148,1,7,model2_full
num__unemployment_total,0.37325829918567816,1,7,model2_full
num__unemployment_youth,-0.06217019651394231,1,7,model2_full
num__unemployment_sa,0.6562120471468662,1,7,model2_full
num__unemployment_sa_z,0.12621138353935954,1,7,model2_full
num__unemployment_rate,-0.9701555887728318,1,7,model2_full
num__unemployment_rate_z,0.137799289728183,1,7,model2_full
num__earnings_monthly,0.0008061334330918251,1,7,model2_full
num__earnings_monthly_z,-0.007215832690200432,1,7,model2_full
num__political_stability_est,-0.7724682333117664,1,7,model2_full
num__voice_accountability_est,-0.26178605387441733,1,7,model2_full
num__government_effectiveness_est,0.5333526649023221,1,7,model2_full
num__rule_of_law_est,-0.5425618753967796,1,7,model2_full
num__fx_pct_30d_x_instability,-0.2672453620504803,1,7,model2_full
num__oil_brent_pct_30d_x_inflation,0.004890366892865791,1,7,model2_full
num__economic_stress_index,-0.043869513203515835,1,7,model2_full
num__economic_stress_index_z,0.013782520614437431,1,7,model2_full
num__labour_conflict_index,0.021440666673340398,1,7,model2_full
num__labour_conflict_index_z,0.0034439805963858055,1,7,model2_full
num__protest_mobilisation_index,0.0060943255761429635,1,7,model2_full
num__protest_mobilisation_index_z,0.060423275516010275,1,7,model2_full
num__food_cpi_inflation,0.566556340998784,1,7,model2_full
num__food_cpi_inflation_z,-0.31913288999836825,1,7,model2_full
num__energy_cpi_inflation,-0.026273851079280153,1,7,model2_full
num__energy_cpi_inflation_z,0.09077974032658868,1,7,model2_full
num__acled_7d_lag,1.0864264247733377,1,7,model4_fao
num__acled_28d_lag,-0.963732542490857,1,7,model4_fao
num__riot_7d_lag,0.300035947725573,1,7,model4_fao
num__riot_28d_lag,-0.13511743378080823,1,7,model4_fao
num__violence_7d_lag,0.4526581191882507,1,7,model4_fao
num__violence_28d_lag,-0.4287342270420948,1,7,model4_fao
num__protest_fat_7d_lag,-0.09457594251455514,1,7,model4_fao
num__protest_fat_28d_lag,-0.055953540935084346,1,7,model4_fao
num__fx_pct_7d,0.02833437410440122,1,7,model4_fao
num__fx_pct_30d,0.25772208246975653,1,7,model4_fao
num__fx_pct_90d,-0.24434560982791118,1,7,model4_fao
num__fx_vol_7d,0.03639718890710409,1,7,model4_fao
num__fx_vol_30d,0.1518453878839823,1,7,model4_fao
num__oil_brent_pct_14d,0.006531569523610524,1,7,model4_fao
num__oil_brent_pct_30d,-0.5939385679790964,1,7,model4_fao
num__yield_us10y,0.10871865841529951,1,7,model4_fao
num__fx_pct_30d_z,0.034546983923518855,1,7,model4_fao
num__fx_vol_30d_z,-0.09697314972131872,1,7,model4_fao
num__oil_brent_pct_30d_z,0.5436198769843765,1,7,model4_fao
num__gdp_growth,-0.19321704869651057,1,7,model4_fao
num__gdp_per_capita_growth,-0.1740220533499014,1,7,model4_fao
num__inflation_cpi_yoy,-0.6062150902051876,1,7,model4_fao
num__unemployment_total,0.24904635101622263,1,7,model4_fao
num__unemployment_youth,-0.0180724678462375,1,7,model4_fao
num__unemployment_sa,0.8610219476420686,1,7,model4_fao
num__unemployment_sa_z,0.11778016153521255,1,7,model4_fao
num__unemployment_rate,-1.1040325553289052,1,7,model4_fao
num__unemployment_rate_z,0.17533737167580346,1,7,model4_fao
num__earnings_monthly,0.07586497879046687,1,7,model4_fao
num__earnings_monthly_z,-0.05821404232178172,1,7,model4_fao
num__political_stability_est,-0.7176139688857132,1,7,model4_fao
num__voice_accountability_est,-0.22755491064026323,1,7,model4_fao
num__government_effectiveness_est,0.7178734693111536,1,7,model4_fao
num__rule_of_law_est,-0.7945915055397361,1,7,model4_fao
num__fx_pct_30d_x_instability,-0.24772226107382764,1,7,model4_fao
num__oil_brent_pct_30d_x_inflation,0.03184715702923156,1,7,model4_fao
num__economic_stress_index,-0.016990553384440756,1,7,model4_fao
num__economic_stress_index_z,-0.0017308516306460825,1,7,model4_fao
num__labour_conflict_index,0.02240092616085128,1,7,model4_fao
num__labour_conflict_index_z,-0.0017096514138241687,1,7,model4_fao
num__protest_mobilisation_index,-0.0011552912269642568,1,7,model4_fao
num__protest_mobilisation_index_z,0.027439337075793383,1,7,model4_fao
num__food_cpi_inflation,0.5812399617047694,1,7,model4_fao
num__food_cpi_inflation_z,-0.31702355603381716,1,7,model4_fao
num__energy_cpi_inflation,-0.053307933019127195,1,7,model4_fao
num__energy_cpi_inflation_z,0.16494701982264984,1,7,model4_fao
num__month_sin,0.5374753799426634,1,7,model4_fao
num__month_cos,0.6236920986091864,1,7,model4_fao
num__fao_food_index_yoy,0.02919204412621021,1,7,model4_fao
num__fao_cereals_index_yoy,-0.19339504138661995,1,7,model4_fao
num__fao_oils_index_yoy,-0.13214783480909303,1,7,model4_fao
num__fao_food_index_yoy_above90,-0.35502081157901855,1,7,model4_fao
num__fao_cereals_index_yoy_above90,0.0,1,7,model4_fao
num__fao_cereals_index_yoy_lag1m,-0.5240021223877425,1,7,model4_fao
num__fao_cereals_index_yoy_lag3m,-0.2096928642348428,1,7,model4_fao
num__fao_cereals_index_yoy_lag6m,0.2240502171153751,1,7,model4_fao
num__fao_food_index_yoy_lag1m,0.4505422555962347,1,7,model4_fao
num__fao_food_index_yoy_lag3m,0.37543184787881073,1,7,model4_fao
num__fao_cereals_yoy_x_instability,0.11856379033685216,1,7,model4_fao
num__fao_food_yoy_x_youth_unemp,0.016161636662274093,1,7,model4_fao
