feature,importance,fold_id,horizon,model_name
num__acled_7d_lag,0.05532222,1,30,model5_xgboost_tuned
num__acled_28d_lag,0.060065467,1,30,model5_xgboost_tuned
num__riot_7d_lag,0.0026589409,1,30,model5_xgboost_tuned
num__riot_28d_lag,0.009792079,1,30,model5_xgboost_tuned
num__violence_7d_lag,0.008606234,1,30,model5_xgboost_tuned
num__violence_28d_lag,0.0123736095,1,30,model5_xgboost_tuned
num__protest_fat_7d_lag,0.0,1,30,model5_xgboost_tuned
num__protest_fat_28d_lag,0.0077514057,1,30,model5_xgboost_tuned
num__fx_pct_7d,0.014698456,1,30,model5_xgboost_tuned
num__fx_pct_30d,0.0063444194,1,30,model5_xgboost_tuned
num__fx_pct_90d,0.0053899107,1,30,model5_xgboost_tuned
num__fx_vol_7d,0.0064412747,1,30,model5_xgboost_tuned
num__fx_vol_30d,0.007788328,1,30,model5_xgboost_tuned
num__oil_brent_pct_14d,0.0034893951,1,30,model5_xgboost_tuned
num__oil_brent_pct_30d,0.01701662,1,30,model5_xgboost_tuned
num__yield_us10y,0.011841756,1,30,model5_xgboost_tuned
num__fx_pct_30d_z,0.009497909,1,30,model5_xgboost_tuned
num__fx_vol_30d_z,0.010089172,1,30,model5_xgboost_tuned
num__oil_brent_pct_30d_z,0.007602598,1,30,model5_xgboost_tuned
num__gdp_growth,0.01568593,1,30,model5_xgboost_tuned
num__gdp_per_capita_growth,0.012558322,1,30,model5_xgboost_tuned
num__inflation_cpi_yoy,0.016533805,1,30,model5_xgboost_tuned
num__unemployment_total,0.018331304,1,30,model5_xgboost_tuned
num__unemployment_youth,0.012222476,1,30,model5_xgboost_tuned
num__unemployment_sa,0.013884941,1,30,model5_xgboost_tuned
num__unemployment_sa_z,0.011669148,1,30,model5_xgboost_tuned
num__unemployment_rate,0.021246718,1,30,model5_xgboost_tuned
num__unemployment_rate_z,0.00962482,1,30,model5_xgboost_tuned
num__earnings_monthly,0.004434622,1,30,model5_xgboost_tuned
num__earnings_monthly_z,0.0068070553,1,30,model5_xgboost_tuned
num__political_stability_est,0.015147852,1,30,model5_xgboost_tuned
num__voice_accountability_est,0.025937425,1,30,model5_xgboost_tuned
num__government_effectiveness_est,0.045136083,1,30,model5_xgboost_tuned
num__rule_of_law_est,0.014455545,1,30,model5_xgboost_tuned
num__fx_pct_30d_x_instability,0.009239309,1,30,model5_xgboost_tuned
num__oil_brent_pct_30d_x_inflation,0.009021773,1,30,model5_xgboost_tuned
num__economic_stress_index,0.0078990655,1,30,model5_xgboost_tuned
num__economic_stress_index_z,0.0056187892,1,30,model5_xgboost_tuned
num__labour_conflict_index,0.009850737,1,30,model5_xgboost_tuned
num__labour_conflict_index_z,0.011672566,1,30,model5_xgboost_tuned
num__protest_mobilisation_index,0.01497753,1,30,model5_xgboost_tuned
num__protest_mobilisation_index_z,0.008570433,1,30,model5_xgboost_tuned
num__food_cpi_inflation,0.010405625,1,30,model5_xgboost_tuned
num__food_cpi_inflation_z,0.012326591,1,30,model5_xgboost_tuned
num__energy_cpi_inflation,0.014081575,1,30,model5_xgboost_tuned
num__energy_cpi_inflation_z,0.015852481,1,30,model5_xgboost_tuned
num__month_sin,0.025939206,1,30,model5_xgboost_tuned
num__month_cos,0.07870379,1,30,model5_xgboost_tuned
num__fao_food_index_yoy,0.0373377,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy,0.012169684,1,30,model5_xgboost_tuned
num__fao_oils_index_yoy,0.039407242,1,30,model5_xgboost_tuned
num__fao_food_index_yoy_above90,0.009252141,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy_above90,0.0,1,30,model5_xgboost_tuned
num__fao_cereals_index_yoy_lag1m,0.008671448,1,30,model5_xgboost_tuned
