quarter,model_name,roc_auc,pr_auc,brier,brier_skill_score
2020-Q1,model5_xgb,0.8349562314020946,0.8033633339596987,0.1613641785294897,0.3227458303656058
2020-Q2,model5_xgb,0.8556264287883873,0.8211426871998432,0.1600726829440212,0.3285095469622401
2020-Q3,model5_xgb,0.8638163306171094,0.8532134090602355,0.1389056850851122,0.4061799502192318
2020-Q4,model5_xgb,0.8735997635064693,0.8294479125440433,0.1302688138394216,0.4248682548065627
2021-Q1,model5_xgb,0.8430325151688053,0.8173777337296924,0.1538178442921471,0.3513699335185222
2021-Q2,model5_xgb,0.8769996372235511,0.8481097514593618,0.1343033195389351,0.4317831922903207
2021-Q3,model5_xgb,0.8830606117053548,0.8362443764442664,0.1306046429794404,0.4253207329633842
2021-Q4,model5_xgb,0.8730743830013159,0.8242836059930356,0.1315658097502437,0.4149271492157427
2020-Q1,model6_xgb_nolag,0.8137640327756321,0.7670064107687393,0.17386203062494257,0.2702916703391751
2020-Q2,model6_xgb_nolag,0.8597510977357867,0.8183069759053465,0.15753089784341723,0.33917210597817204
2020-Q3,model6_xgb_nolag,0.8604076295132081,0.8414795107955656,0.1525631668264196,0.34779438822777153
2020-Q4,model6_xgb_nolag,0.872998584331069,0.8149904336333911,0.13378179961848957,0.40935855925928
2021-Q1,model6_xgb_nolag,0.8246841393870047,0.7931112315283143,0.15847064745917597,0.3317496609718392
2021-Q2,model6_xgb_nolag,0.8706873270093785,0.851568800329771,0.1367364642331061,0.4214889291584497
2021-Q3,model6_xgb_nolag,0.8805750994187825,0.8331781222948265,0.1332685620023524,0.41359910502881736
2021-Q4,model6_xgb_nolag,0.8744787864465053,0.8213261143327777,0.13340690593098928,0.40673979877050437
