country_iso3,year,control_of_corruption_est,government_effectiveness_est,political_stability_est,regulatory_quality_est,rule_of_law_est,voice_accountability_est
ABW,2017,1.23961400985718,0.875969707965851,1.31384599208832,1.18148112297058,1.29584264755249,1.29565441608429
ABW,2018,1.20740139484406,1.01341271400452,1.33750987052917,0.846328258514404,1.25965404510498,1.28282356262207
ABW,2019,1.17443084716797,0.987693905830383,1.33580732345581,0.846234202384949,1.22834599018097,1.2625652551651
ABW,2020,1.1988273859024,1.07495975494385,1.3715912103653,0.914808511734009,1.27059960365295,1.28185057640076
ABW,2021,0.800938904285431,1.08387625217438,1.43172669410706,0.93955534696579,1.24666583538055,1.01815533638
ABW,2022,0.756486594676971,1.10521340370178,1.48307979106903,0.967042565345764,1.27802610397339,1.01316380500793
ABW,2023,0.709075331687927,0.795440852642059,1.43252456188202,0.946606338024139,1.27020680904388,1.0191752910614
AFG,2017,-1.53007459640503,-1.38659679889679,-2.7949755191803,-1.36301040649414,-1.58117640018463,-0.990954160690308
AFG,2018,-1.50287592411041,-1.50175786018372,-2.75344133377075,-1.13820362091064,-1.68912386894226,-1.00768673419952
AFG,2019,-1.41931009292603,-1.5191125869751,-2.65253973007202,-1.11377799510956,-1.74210047721863,-1.00671291351318
AFG,2020,-1.49336087703705,-1.61153948307037,-2.702721118927,-1.38916301727295,-1.83140671253204,-1.07826685905457
AFG,2021,-1.15226578712463,-1.67058789730072,-2.51867604255676,-1.31168210506439,-1.87723398208618,-1.56838941574097
AFG,2022,-1.18368434906006,-1.88003480434418,-2.54495596885681,-1.27180624008179,-1.65984559059143,-1.75352871417999
AFG,2023,-1.15493178367615,-1.98701369762421,-2.48408055305481,-1.26642525196075,-1.64964091777802,-1.85290133953094
AGO,2017,-1.44517171382904,-0.951988995075226,-0.387895494699478,-1.04546654224396,-1.03998208045959,-1.09524345397949
AGO,2018,-1.19948387145996,-1.00525164604187,-0.347208589315414,-0.8006831407547,-1.00106203556061,-0.903594315052032
AGO,2019,-1.05461812019348,-1.1284898519516,-0.368411600589752,-0.833844542503357,-1.02354824542999,-0.793109953403473
AGO,2020,-0.93506121635437,-1.25748455524445,-0.599917888641357,-0.856853485107422,-0.951058804988861,-0.816005945205688
AGO,2021,-0.649475812911987,-1.1263599395752,-0.710480749607086,-0.670014679431915,-0.983753621578217,-0.859023571014404
AGO,2022,-0.612375736236572,-1.02603423595428,-0.630108535289764,-0.606698572635651,-1.02203571796417,-0.807577967643738
AGO,2023,-0.60992020368576,-1.00890958309174,-0.34150505065918,-0.761388182640076,-1.09906601905823,-0.737252414226532
AIA,2017,1.17178130149841,0.783770322799683,1.35839092731476,0.831705510616302,-0.146304741501808,
AIA,2018,1.17894005775452,0.7747842669487,1.25506341457367,0.813936293125153,-0.142874255776405,
AIA,2019,1.17618942260742,0.762365400791168,1.31704616546631,0.835124850273132,0.300148159265518,
AIA,2020,0.632067441940308,0.911797344684601,1.50384271144867,0.930365979671478,0.373447895050049,
AIA,2021,0.63789439201355,0.916287004947662,1.52878737449646,0.946981251239777,0.383823066949844,
AIA,2022,1.27027237415314,1.21938359737396,1.12317395210266,0.972116887569427,0.428014487028122,
AIA,2023,1.25135612487793,1.20168173313141,1.11422121524811,0.931279718875885,0.683675646781921,
ALB,2017,-0.481386840343475,0.0985528454184532,0.373770743608475,0.220610320568085,-0.414191573858261,0.203885167837143
ALB,2018,-0.546018898487091,0.0805245339870453,0.366779267787933,0.256079822778702,-0.414752036333084,0.188786596059799
ALB,2019,-0.564274072647095,-0.0623007006943226,0.11010505259037,0.272065460681915,-0.426317363977432,0.141965284943581
ALB,2020,-0.573538780212402,-0.155121222138405,0.0886125192046165,0.221967235207558,-0.378028213977814,0.0863254442811012
ALB,2021,-0.577179968357086,-0.0359850227832794,0.196371927857399,0.175859391689301,-0.280716270208359,0.0855889618396759
ALB,2022,-0.408189445734024,0.0645405352115631,0.106261312961578,0.159353822469711,-0.165585100650787,0.141740188002586
ALB,2023,-0.332218527793884,0.250855356454849,0.183348968625069,0.171953663229942,-0.164097368717194,0.168997228145599
